Actividad,Línea_Servicio,ESPACIO_ACTIVIDAD,Asistencias,Rangos_Edad,LUGAR
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
SUMINISTRO DE INFORMACION (REAL),REFERENCIA,SALA GENERAL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
SUMINISTRO DE INFORMACION (REAL),REFERENCIA,SALA GENERAL,1,JÓVENES (18 A 28 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,ADULTOS (29 A 59 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,PRIMERA INFANCIA (0 A 5 AÑOS),CENTRO
CONSULTA EN SALA (REAL),CONSULTA EN SALA,SALA INFANTIL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
RENOVACION DE MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
RENOVACION DE MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
"CONSULTA EN SALA (PELÍCULAS, DOCUMENTALES, AUDIOLIBROS) (REAL)",CONSULTA EN SALA,SALA AUDIOVISUAL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
"CONSULTA EN SALA (PELÍCULAS, DOCUMENTALES, AUDIOLIBROS) (REAL)",CONSULTA EN SALA,SALA AUDIOVISUAL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,"SALA DE ARTE, LECTURA Y PATRIMONIO",1,ADULTOS (29 A 59 AÑOS),CENTRO
EXPOSICIONES BIBLIOGRAFICAS,ACTIVIDADES DE FORMACION CULTURAL,"SALA DE ARTE, LECTURA Y PATRIMONIO",1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRACTICAS DE LECTURA Y PATRIMONIO,ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,"SALA DE ARTE, LECTURA Y PATRIMONIO",1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
PRACTICAS DE LECTURA Y PATRIMONIO,ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,"SALA DE ARTE, LECTURA Y PATRIMONIO",1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
PRACTICAS DE LECTURA Y PATRIMONIO,ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,"SALA DE ARTE, LECTURA Y PATRIMONIO",1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRACTICAS DE LECTURA Y PATRIMONIO,ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,"SALA DE ARTE, LECTURA Y PATRIMONIO",1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRACTICAS DE LECTURA Y PATRIMONIO,ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,"SALA DE ARTE, LECTURA Y PATRIMONIO",1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRACTICAS DE LECTURA Y PATRIMONIO,ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,"SALA DE ARTE, LECTURA Y PATRIMONIO",1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRACTICAS DE LECTURA Y PATRIMONIO,ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,"SALA DE ARTE, LECTURA Y PATRIMONIO",1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRACTICAS DE LECTURA Y PATRIMONIO,ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,"SALA DE ARTE, LECTURA Y PATRIMONIO",1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRACTICAS DE LECTURA Y PATRIMONIO,ACTIVIDADES DE FORMACION EN LECTURA Y ESCRITURA,"SALA DE ARTE, LECTURA Y PATRIMONIO",9,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (REAL)",CONSULTA EN SALA,SALA GENERAL,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,JÓVENES (18 A 28 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS (29 A 59 AÑOS),CENTRO
"CONSULTA EN SALA (LIBROS, PERIODICOS Y REVISTAS) (RECURRENTE)",CONSULTA EN SALA,SALA GENERAL,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
ACCESO A WIFI (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
ACCESO A WIFI (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
DEVOLUCION MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (REAL),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS (29 A 59 AÑOS),CENTRO
PRESTAMO DE COMPUTADORES (RECURRENTE),ACCESO A INTERNET,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADULTOS MAYORES (60 AÑOS EN ADELANTE),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (REAL),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,JÓVENES (18 A 28 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
PRESTAMO DE MATERIAL BIBLIOGRAFICO (RECURRENTE),PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
RENOVACION DE MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,ADOLESCENTES (13 A 17 AÑOS),CENTRO
RENOVACION DE MATERIAL EN PRESTAMO,PRÉSTAMO EXTERNO,AREA DE CIRCULACION Y PRESTAMOS,1,NIÑOS Y NIÑAS (6 A 12 AÑOS),CENTRO
